notice_no,notice_id,route_id,route_name,notice_group,notice_name,recommended_rank,public_summary,primary_objective,field_situation,unknown_factor,complication,record_targets,failure_condition,follow_up,public_notice_text
69,notice_069_solver_전시_오염_병기_추적,solver,해결사,전쟁·전장 조사,전시 오염 병기 추적,중급~상급,"전시 오염 병기 추적 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.",전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다.,"현장은 '전시 오염 병기 추적' 성격의 사건으로 분류되며, 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.","전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다.",교전 세력은 연맹 조사를 정찰·첩보 행위로 오해할 수 있다.,"전장 좌표, 잔향 기록, 유물·병기 증거, 실종 기록",조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다.,"민간 피해가 우선될 경우 전시 민생·구호로 전환하고, 오염 병기가 확인되면 정제·자원으로 확장한다.","[전시 오염 병기 추적] 전시 오염 병기 추적 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다. 주요 목표는 전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다. 확인해야 할 미지는 전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다. 실패 시 조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다."
70,notice_070_solver_실종_부대_기록_회수,solver,해결사,전쟁·전장 조사,실종 부대 기록 회수,중급~상급,"실종 부대 기록 회수 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.",전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다.,"현장은 '실종 부대 기록 회수' 성격의 사건으로 분류되며, 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다.","전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다.",교전 세력은 연맹 조사를 정찰·첩보 행위로 오해할 수 있다.,"전장 좌표, 잔향 기록, 유물·병기 증거, 실종 기록",조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다.,"민간 피해가 우선될 경우 전시 민생·구호로 전환하고, 오염 병기가 확인되면 정제·자원으로 확장한다.","[실종 부대 기록 회수] 실종 부대 기록 회수 공고는 전쟁터에서 드러난 미지, 잔향, 유물, 오염 병기, 실종 기록을 조사하는 공고다. 주요 목표는 전장에 남은 미지 현상과 위험 기록을 확보하되 전쟁의 승패에는 개입하지 않는다. 확인해야 할 미지는 전쟁 피해 속에서 드러난 이상이 전술적 사건인지, 미지 현상인지 확인해야 한다. 실패 시 조사가 전쟁 개입으로 오해받거나 핵심 증거가 은폐된다."
71,notice_071_solver_전쟁_피난민_구조,solver,해결사,전시 민생·구호,전쟁 피난민 구조,하급~중급,전쟁 피난민 구조 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.,전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다.,"현장은 '전쟁 피난민 구조' 성격의 사건으로 분류되며, 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.","민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다.",전선 변화와 피난민 혼란 때문에 구조 우선순위를 계속 재조정해야 한다.,"피난민 명단, 대피 경로, 부상자 기록, 민간 구역 오염 판정",민간인 피해가 확대되거나 피난 경로가 끊긴다.,피난로와 구호 거점이 안정되면 전장 조사 또는 문명권 안전 관리로 후속 전환한다.,"[전쟁 피난민 구조] 전쟁 피난민 구조 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다. 주요 목표는 전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다. 확인해야 할 미지는 민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다. 실패 시 민간인 피해가 확대되거나 피난 경로가 끊긴다."
72,notice_072_solver_민간_대피로_확보,solver,해결사,전시 민생·구호,민간 대피로 확보,하급~중급,민간 대피로 확보 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.,전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다.,"현장은 '민간 대피로 확보' 성격의 사건으로 분류되며, 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.","민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다.",전선 변화와 피난민 혼란 때문에 구조 우선순위를 계속 재조정해야 한다.,"피난민 명단, 대피 경로, 부상자 기록, 민간 구역 오염 판정",민간인 피해가 확대되거나 피난 경로가 끊긴다.,피난로와 구호 거점이 안정되면 전장 조사 또는 문명권 안전 관리로 후속 전환한다.,"[민간 대피로 확보] 민간 대피로 확보 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다. 주요 목표는 전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다. 확인해야 할 미지는 민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다. 실패 시 민간인 피해가 확대되거나 피난 경로가 끊긴다."
73,notice_073_solver_전시_구호_거점_방어,solver,해결사,전시 민생·구호,전시 구호 거점 방어,하급~중급,전시 구호 거점 방어 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.,전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다.,"현장은 '전시 구호 거점 방어' 성격의 사건으로 분류되며, 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.","민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다.",전선 변화와 피난민 혼란 때문에 구조 우선순위를 계속 재조정해야 한다.,"피난민 명단, 대피 경로, 부상자 기록, 민간 구역 오염 판정",민간인 피해가 확대되거나 피난 경로가 끊긴다.,피난로와 구호 거점이 안정되면 전장 조사 또는 문명권 안전 관리로 후속 전환한다.,"[전시 구호 거점 방어] 전시 구호 거점 방어 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다. 주요 목표는 전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다. 확인해야 할 미지는 민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다. 실패 시 민간인 피해가 확대되거나 피난 경로가 끊긴다."
74,notice_074_solver_전시_민간_구역_정화,solver,해결사,전시 민생·구호,전시 민간 구역 정화,하급~중급,전시 민간 구역 정화 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.,전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다.,"현장은 '전시 민간 구역 정화' 성격의 사건으로 분류되며, 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.","민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다.",전선 변화와 피난민 혼란 때문에 구조 우선순위를 계속 재조정해야 한다.,"피난민 명단, 대피 경로, 부상자 기록, 민간 구역 오염 판정",민간인 피해가 확대되거나 피난 경로가 끊긴다.,피난로와 구호 거점이 안정되면 전장 조사 또는 문명권 안전 관리로 후속 전환한다.,"[전시 민간 구역 정화] 전시 민간 구역 정화 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다. 주요 목표는 전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다. 확인해야 할 미지는 민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다. 실패 시 민간인 피해가 확대되거나 피난 경로가 끊긴다."
75,notice_075_solver_실종_민간인_수색,solver,해결사,전시 민생·구호,실종 민간인 수색,하급~중급,실종 민간인 수색 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.,전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다.,"현장은 '실종 민간인 수색' 성격의 사건으로 분류되며, 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다.","민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다.",전선 변화와 피난민 혼란 때문에 구조 우선순위를 계속 재조정해야 한다.,"피난민 명단, 대피 경로, 부상자 기록, 민간 구역 오염 판정",민간인 피해가 확대되거나 피난 경로가 끊긴다.,피난로와 구호 거점이 안정되면 전장 조사 또는 문명권 안전 관리로 후속 전환한다.,"[실종 민간인 수색] 실종 민간인 수색 공고는 전쟁 참여가 아니라 민간인 피해 최소화를 목적으로 한 구호 공고다. 주요 목표는 전쟁 피해를 입은 민간인을 구조하고 대피·치료·정화 경로를 확보한다. 확인해야 할 미지는 민간 피해가 전쟁의 직접 결과인지, 잔향·오염·공간 왜곡이 결합된 재난인지 확인해야 한다. 실패 시 민간인 피해가 확대되거나 피난 경로가 끊긴다."
"76","notice_076_hunter_던전_내부_위협_정리","hunter","사냥꾼","던전 사냥","던전 내부 위협 정리","중급~상급","던전 내부 위협 정리 공고는 던전 공략 중 내부 몬스터와 생물형 위협을 정리하는 사냥꾼 공고다.","던전 공략대의 이동을 방해하는 내부 위협을 추적하고 제압한다.","현장은 던전 내부이며, 대상은 던전 밖으로 나오지 못하는 내부 몬스터다.","개체가 단순 던전 몬스터인지, 가디언의 영역 반응에 묶인 하위 위협인지 확인해야 한다.","던전 구조와 감각 왜곡 때문에 추적과 퇴로 확보가 어렵다.","개체 위치, 교전 지점, 내부 이동 경로, 던전 반응","내부 위협을 정리하지 못해 공략대가 후퇴하거나 고립된다.","가디언 결속 반응이 확인되면 던전 가디언 약점 관측으로 전환한다.","[던전 내부 위협 정리] 던전 내부 생물형 위협이 확인되었다. 사냥꾼은 공략대의 이동로를 확보하라."
"77","notice_077_hunter_던전_생태_추적","hunter","사냥꾼","던전 사냥","던전 생태 추적","중급~상급","던전 생태 추적 공고는 던전 내부 몬스터의 서식, 이동, 재출현, 포식 관계를 추적하는 사냥꾼 공고다.","던전 내부 생물형 위협의 이동 경로와 생태 구조를 기록한다.","현장에서는 같은 구역의 반복 출몰, 사체 누적, 둥지, 영역 표시가 확인될 수 있다.","던전 생태가 자연적 생태인지, 던전 핵과 가디언 반응에 의해 재현되는 구조인지 확인해야 한다.","던전 내부 구조가 변하면 기존 추적 기록이 빠르게 무효화된다.","출몰 구역, 둥지 위치, 포식 흔적, 재출현 주기","생태 구조를 파악하지 못해 공략대가 반복 피해를 입는다.","가디언과 연결된 재현 구조가 확인되면 던전 공고 상위 단계로 전환한다.","[던전 생태 추적] 던전 내부 생태 반응이 확인되었다. 사냥꾼은 출몰 구조와 재현 조건을 기록하라."
"78","notice_078_hunter_던전_부산물_회수","hunter","사냥꾼","던전 사냥","던전 부산물 회수","중급~상급","던전 부산물 회수 공고는 던전 내부 몬스터의 사체, 기관, 외피, 흑마석 반응 부산물을 회수하는 사냥꾼 공고다.","던전 내부 부산물을 회수하고 오염·정제 가능성을 기록한다.","현장에는 던전 환경에 노출된 사체와 변이 기관, 결정화 부산물, 흑마석 반응 부위가 남아 있다.","부산물이 정상 재료인지, 던전 핵 반응과 연결된 오염 표본인지 확인해야 한다.","던전 내부에서 장시간 해체 작업을 하면 노출 위험이 커진다.","부산물 종류, 오염 반응, 회수 위치, 보존 상태","부산물이 훼손되거나 오염이 확산되어 회수 가치가 사라진다.","핵 또는 흑마석 반응이 강하면 정제·자원 공고와 연계한다.","[던전 부산물 회수] 던전 내부 부산물 회수가 필요하다. 사냥꾼은 표본을 보존하고 반응을 기록하라."
"79","notice_079_hunter_던전_가디언_약점_관측","hunter","사냥꾼","던전 사냥","던전 가디언 약점 관측","상급","던전 가디언 약점 관측 공고는 던전 가디언 제압 전에 행동 패턴과 약점, 결속 반응을 파악하는 사냥꾼 공고다.","던전 가디언의 행동 주기와 약점, 결속 조건을 관측한다.","현장은 던전 중심부 또는 가디언의 영역이며, 가디언은 던전 밖으로 이탈하지 않는다.","가디언의 약점이 신체적 취약점인지, 던전 핵과 연결된 조건인지 확인해야 한다.","관측 실패는 곧바로 공략대 전멸로 이어질 수 있다.","가디언 행동 패턴, 반응 거리, 약점 조건, 핵 반응","약점 관측에 실패해 던전 가디언 제압전이 불가능해진다.","관측이 완료되면 던전 가디언 제압전으로 전환한다.","[던전 가디언 약점 관측] 던전 가디언의 약점 관측이 필요하다. 사냥꾼은 교전 전 패턴과 결속 반응을 기록하라."
"80","notice_080_hunter_던전_가디언_제압전","hunter","사냥꾼","던전 사냥","던전 가디언 제압전","상급","던전 가디언 제압전 공고는 던전 공략의 핵심 수호자인 던전 가디언을 쓰러뜨리고 핵 회수 조건을 여는 사냥꾼 공고다.","던전 가디언을 제압하고 부정한 핵 회수를 가능하게 한다.","현장은 던전 중심부이며, 공략대는 던전 가디언의 영역 안에서 교전한다.","가디언이 어떤 방식으로 던전 핵과 결속되어 있는지 확인해야 한다.","제압 중 던전 구조가 변하거나 하위 몬스터가 재집결할 수 있다.","가디언 약점, 교전 기록, 핵 반응, 제압 후 던전 변화","가디언 제압에 실패해 던전 공략대가 전멸하거나 철수한다.","제압 후 핵 회수와 정제사 인계 절차로 전환한다.","[던전 가디언 제압전] 던전 가디언 제압이 필요하다. 사냥꾼은 공략대와 함께 수호자를 쓰러뜨리고 핵 회수 조건을 열어라."
"81","notice_081_hunter_안개권_위협_개체_제압","hunter","사냥꾼","앙그라권 레이드·사냥","안개권 위협 개체 제압","상급","안개권 위협 개체 제압 공고는 앙그라권 원정대에 배속된 사냥꾼이 비던전 생물 위협을 제압하는 공고다.","원정 경로를 위협하는 안개권 생물 개체를 추적하고 제압한다.","현장은 앙그라 안개 내부 또는 경계 깊숙한 지점이며, 사냥꾼은 단독이 아니라 원정대에 배속되어 움직인다.","대상이 단순 안개권 생물인지, 못 주변 수호 반응과 연결된 존재인지 확인해야 한다.","안개 때문에 시야와 방향 감각이 무너지고 원정대와 분리될 위험이 있다.","접촉 위치, 개체 이동 경로, 공격 방식, 잔향 반응, 원정대 피해 기록","개체를 제압하지 못해 원정 경로가 붕괴되거나 원정대가 철수한다.","앙그라의 못 또는 토템 가디언 반응이 확인되면 레이드 공고로 전환한다.","[안개권 위협 개체 제압] 안개권 원정대의 이동을 위협하는 생물 개체가 확인되었다. 사냥꾼은 원정대에 배속되어 위협을 제압하라."
"82","notice_082_hunter_안개권_추적_개체_차단","hunter","사냥꾼","앙그라권 레이드·사냥","안개권 추적 개체 차단","상급","안개권 추적 개체 차단 공고는 원정대를 따라붙거나 귀환로를 위협하는 추적형 개체를 차단하는 사냥꾼 공고다.","추적 개체의 접근 경로를 끊고 귀환로를 확보한다.","현장에서는 같은 흔적, 울음, 냄새, 그림자가 일정 간격으로 반복되며 원정대를 따라온다.","개체가 원정대 자체를 추적하는지, 장비·시료·보급품에 반응하는지 확인해야 한다.","추적자를 역추적하는 동안 사냥꾼이 본대와 떨어질 수 있다.","추적 흔적, 접근 주기, 귀환로 침범 지점, 유인 반응","차단에 실패해 귀환로가 막히거나 후방 인원이 실종된다.","원인이 특정 시료나 장비라면 위험 운송 또는 회수·귀환 공고와 연계한다.","[안개권 추적 개체 차단] 원정대를 따라붙는 추적 개체가 확인되었다. 사냥꾼은 접근 경로를 끊고 귀환로를 확보하라."
"83","notice_083_hunter_안개권_변이_생태_표본_확보","hunter","사냥꾼","앙그라권 레이드·사냥","안개권 변이 생태 표본 확보","상급","안개권 변이 생태 표본 확보 공고는 안개 내부 생물의 조직, 체액, 외피, 기관 표본을 확보하는 사냥꾼 공고다.","안개권 생물 표본을 확보하고 오염 확산 없이 보존한다.","현장에는 일반 생태와 다른 포식 흔적, 체액, 외피, 배설물, 둥지 잔해가 남아 있다.","표본이 본래 생물 특성인지, 안개 노출과 잔향 적응의 결과인지 확인해야 한다.","무리한 채집은 생물의 반격이나 표본 오염을 일으킬 수 있다.","표본 종류, 채집 위치, 보존 상태, 잔향 반응, 개체 관찰 기록","표본이 훼손되거나 오염되어 연구 가치가 사라진다.","지성이 있거나 의사소통 가능성이 확인되면 생태 조사 또는 접촉 공고로 전환한다.","[안개권 변이 생태 표본 확보] 안개권 생물 표본이 필요하다. 사냥꾼은 원정대 절차 안에서 표본을 확보하라."
"84","notice_084_hunter_안개권_긴급_후위_사냥","hunter","사냥꾼","앙그라권 레이드·사냥","안개권 긴급 후위 사냥","상급","안개권 긴급 후위 사냥 공고는 철수 중 원정대 후방을 위협하는 개체를 지연·유인·제압하는 사냥꾼 공고다.","후방 위협을 차단하고 원정대가 안전 지점까지 귀환할 시간을 확보한다.","철수 중 후방에서 발소리, 울음, 낙오자 흔적, 장비 파손이 연속적으로 발생한다.","추격 개체 수와 접근 속도, 안전 지점까지의 거리를 확인해야 한다.","시간을 벌수록 원정대 생존 가능성은 높아지지만 사냥꾼의 고립 위험도 커진다.","추격 개체 수, 지연 지점, 유인 경로, 후방 피해, 철수 성공 여부","후방 차단에 실패해 원정대가 분산되거나 귀환 기록이 끊긴다.","철수 후 잔존 추격 흔적이 남으면 경계 관측 또는 회수·귀환 공고로 연결한다.","[안개권 긴급 후위 사냥] 철수 중 원정대 후방에 위협이 붙었다. 사냥꾼은 시간을 벌고 유인하거나 제압하여 귀환을 성사시켜라."
"85","notice_085_hunter_토템_가디언_레이드","hunter","사냥꾼","앙그라권 레이드·사냥","토템 가디언 레이드","최상급","토템 가디언 레이드 공고는 앙그라의 못을 수호하는 토템 가디언을 원정대 단위로 제압하는 고위험 레이드 공고다.","토템 가디언의 약점과 교전 조건을 파악하고 원정대와 함께 제압한다.","현장은 앙그라의 못 주변이며, 토템 가디언은 던전 가디언보다 강한 수호자로 간주된다.","가디언의 약점이 신체 부위인지, 못과의 결속 조건인지, 부정한 핵 반응인지 확인해야 한다.","단독 사냥은 불가능하며, 개척자·정제사·기록원·구조 예비대와의 원정대 단위 협력이 필요하다.","토템 가디언 행동 패턴, 약점 조건, 못 반응, 핵 반응, 레이드 피해 기록","토템 가디언 제압에 실패해 원정대가 전멸하거나 앙그라의 못 파괴가 중단된다.","제압 후 부정한 핵 회수, 못 파괴, 흑마석 잔해 회수, 안개 소산 검증으로 전환한다.","[토템 가디언 레이드] 앙그라의 못을 수호하는 토템 가디언 제압이 필요하다. 사냥꾼은 원정대의 레이드 전력으로 참여해 약점을 관측하고 수호자를 쓰러뜨려라."
